League,Team Name,MP,GF,GA,GD,xG,xGA,xGD,Shots/90,SoT/90,Goals/Shot,Goals/SoT,Avg Shot Distance,Key Passes/90,Passes into Final Third/90,Passes into Penalty Area/90,Crosses into Penalty Area/90,Progressive Passes/90,Possession %,Tackles,Tackles Won,Challenges Attempted,Aerial Duel Win %
Bundesliga,Borussia Dortmund,33,68,51,17,58.7,42.0,16.7,13.94,4.61,0.13,0.41,16.0,3.99,14.13,3.49,0.93,16.56,58.4,509,313,480,53.5
Bundesliga,VfB Stuttgart,33,61,51,10,59.7,45.8,13.9,13.64,5.0,0.12,0.34,15.8,3.97,14.08,4.01,0.97,16.28,57.4,465,274,464,50.7
Bundesliga,Eintracht Frankfurt,33,65,45,20,63.1,47.3,15.8,14.21,5.03,0.13,0.37,16.4,3.83,11.32,3.38,0.61,14.77,50.0,545,331,495,52.3
Bundesliga,VfL Wolfsburg,33,55,54,1,45.8,51.6,-5.7,12.58,3.97,0.12,0.37,17.2,3.36,10.82,2.64,0.58,13.01,46.2,478,296,530,48.0
Bundesliga,TSG 1899 Hoffenheim,33,46,64,-18,42.2,54.3,-12.1,13.15,4.42,0.1,0.29,17.7,3.53,11.3,3.26,1.2,13.24,49.2,552,326,497,49.1
Bundesliga,SC Freiburg,33,48,50,-2,43.5,40.5,3.1,12.03,3.97,0.11,0.34,16.9,3.09,10.5,2.73,0.79,12.26,48.4,494,307,448,49.1
Bundesliga,1.FSV Mainz 05,33,53,41,12,47.1,46.9,0.2,12.06,4.15,0.12,0.35,16.4,3.42,11.23,3.28,0.98,13.88,50.4,549,316,437,47.0
Bundesliga,Borussia Mönchengladbach,33,55,56,-1,49.6,61.7,-12.1,12.03,4.55,0.12,0.33,16.3,3.29,9.01,2.93,0.99,11.76,49.3,488,274,459,52.9
Bundesliga,SV Werder Bremen,33,50,56,-6,46.9,46.5,0.4,12.48,4.03,0.11,0.35,16.0,3.51,10.28,3.6,0.99,14.67,50.0,534,311,503,50.2
Bundesliga,FC Augsburg,33,34,49,-15,33.0,48.1,-15.1,11.45,3.33,0.09,0.3,17.5,3.12,9.57,2.64,0.82,12.34,43.8,451,290,421,51.5
Bundesliga,1.FC Union Berlin,33,33,50,-17,36.2,46.1,-9.8,12.39,3.55,0.08,0.26,16.6,3.21,8.58,2.62,0.82,11.39,40.0,520,309,494,49.5
Bundesliga,1.FC Heidenheim 1846,33,36,60,-24,38.7,55.4,-16.7,11.42,3.52,0.08,0.27,17.3,3.1,8.66,2.47,0.9,10.31,43.2,601,347,549,46.0
Bundesliga,FC St. Pauli,33,28,39,-11,34.5,44.0,-9.5,11.12,3.24,0.07,0.23,17.3,3.0,9.48,2.16,0.76,11.5,43.8,534,313,503,44.7
Bundesliga,VfL Bochum,33,31,67,-36,40.5,62.4,-21.9,12.85,3.85,0.07,0.23,17.7,3.33,9.37,2.53,0.83,11.76,45.6,579,348,562,52.9
Bundesliga,Holstein Kiel,33,49,77,-28,39.1,58.6,-19.5,11.03,3.97,0.12,0.34,17.8,2.92,7.46,2.0,0.77,9.58,44.1,524,317,507,47.1
Ligue 1,Paris Saint-Germain,33,89,34,55,85.8,30.6,55.1,18.42,8.0,0.13,0.3,16.2,5.61,19.92,4.77,0.76,22.81,68.1,609,379,595,55.2
Ligue 1,AS Monaco,33,63,37,26,72.3,33.1,39.3,14.76,5.33,0.12,0.32,15.7,4.29,13.36,4.31,0.63,17.88,55.0,655,422,614,49.8
Ligue 1,LOSC Lille,33,50,35,15,52.7,42.3,10.3,12.24,4.55,0.11,0.29,16.6,3.39,14.73,3.66,0.76,17.24,57.0,610,348,543,52.8
Ligue 1,Olympique Marseille,33,70,45,25,59.8,44.0,15.9,14.12,5.36,0.13,0.33,16.7,4.09,16.47,3.49,0.74,18.61,63.4,534,343,457,55.7
Ligue 1,Olympique Lyon,33,63,46,17,56.4,45.2,11.1,12.55,5.15,0.13,0.31,16.1,3.7,13.08,3.93,0.62,17.32,56.4,562,332,583,47.4
Ligue 1,RC Strasbourg Alsace,33,54,41,13,47.7,53.6,-5.9,10.55,4.12,0.14,0.37,16.1,2.98,9.77,2.29,0.54,12.99,50.2,525,328,452,51.5
Ligue 1,OGC Nice,33,60,41,19,56.7,39.4,17.4,14.21,5.3,0.11,0.29,16.3,3.78,10.34,3.5,0.71,14.32,47.6,620,390,527,51.4
Ligue 1,Stade Rennais FC,33,49,46,3,47.3,42.1,5.3,12.55,4.61,0.11,0.29,17.3,3.43,11.82,2.92,0.69,15.74,51.2,585,353,498,53.1
Ligue 1,RC Lens,33,38,39,-1,50.0,44.8,5.2,14.21,4.33,0.07,0.22,16.7,3.91,12.14,3.82,1.08,15.7,54.3,588,357,567,52.6
Ligue 1,Stade Brestois 29,33,52,53,-1,44.5,52.5,-8.0,12.09,4.55,0.11,0.3,17.0,3.26,9.97,2.03,0.69,11.8,48.1,631,407,560,51.4
Ligue 1,Stade Reims,33,32,45,-13,37.3,55.3,-18.0,11.76,3.3,0.08,0.28,17.5,3.03,9.46,2.48,0.89,12.7,44.7,545,351,539,46.8
Ligue 1,FC Nantes,33,36,52,-16,36.6,54.8,-18.1,9.94,3.48,0.1,0.28,15.9,2.73,9.46,2.33,0.94,11.42,40.2,625,361,550,48.6
Ligue 1,FC Toulouse,33,41,41,0,46.0,35.4,10.5,11.58,4.15,0.09,0.26,15.5,3.12,9.43,3.02,0.69,13.06,45.0,588,351,587,49.1
Ligue 1,AJ Auxerre,33,47,48,-1,40.4,55.5,-15.1,11.15,4.3,0.11,0.3,17.5,3.22,8.78,2.32,0.73,11.86,42.8,642,394,583,49.3
Ligue 1,Le Havre AC,33,37,69,-32,38.9,61.3,-22.4,10.03,2.85,0.08,0.29,17.6,2.51,8.46,2.16,0.89,11.43,42.9,610,379,546,50.6
Ligue 1,AS Saint-Étienne,32,35,74,-39,35.0,71.1,-36.1,10.21,3.12,0.09,0.31,18.7,2.84,10.67,2.51,0.34,13.22,46.8,562,356,571,46.7
Ligue 1,Montpellier HSC,32,23,74,-51,32.7,60.8,-28.1,10.58,3.27,0.06,0.19,19.5,2.79,9.36,1.8,0.8,11.14,44.9,615,369,594,46.4
Ligue 1,Angers SCO,33,32,51,-19,35.6,53.9,-18.3,9.03,2.67,0.09,0.3,18.2,2.31,8.27,2.14,0.68,10.23,41.1,612,386,592,44.1
